Year, NodeId, Gender, HasHIV, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(Vaccine47),Vaccinated,VaccineExpired
1960.5,1,0,0,59,23,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,60,23,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,61,15,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,62,23,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,63,19,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,64,14,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,65,21,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,66,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,67,15,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,68,14,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,69,11,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,70,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,71,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,72,7,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,73,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,74,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,76,6,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,77,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,79,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,86,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,87,2,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,0,171,0,0,0,13,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,1,138,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,2,151,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,3,154,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,4,157,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,5,137,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,6,146,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,7,126,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,8,127,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,9,110,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,10,104,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,11,103,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,12,117,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,13,103,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,14,109,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,15,96,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,16,80,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,17,89,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,18,88,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,19,71,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,20,72,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,21,78,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,22,77,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,23,68,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,24,75,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,25,71,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,26,65,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,27,65,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,28,61,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,29,58,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,30,61,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,31,62,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,32,61,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,33,46,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,34,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,35,56,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,36,39,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,37,57,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,38,48,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,39,49,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,40,41,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,42,64,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,43,41,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,44,53,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,45,45,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,46,33,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,47,33,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,48,38,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,49,34,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,50,38,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,51,44,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,52,38,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,53,35,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,54,38,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,55,29,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,56,27,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,57,23,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,58,34,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,59,22,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,60,23,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,61,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,62,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,63,24,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,64,20,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,65,19,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,66,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,67,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,68,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,69,13,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,70,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,72,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,73,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,74,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,75,14,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,76,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,77,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,79,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,80,2,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,85,1,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,86,5,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,89,2,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
